,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,SLG,AVG,ISO
23,aaronto01,1968.0,1,ATL,NL,98,283.0,21,69.0,10.0,3.0,1.0,25.0,3.0,4.0,21,37.0,1.0,0.0,2.0,1.0,9.0,29.0,0.36042402826855124,0.24381625441696114,0.1166077738515901
24,abbotje01,1998.0,1,CHA,AL,89,244.0,33,68.0,14.0,1.0,12.0,41.0,3.0,3.0,9,28.0,1.0,0.0,2.0,5.0,2.0,26.0,0.6024590163934426,0.2786885245901639,0.32377049180327866
25,abbotje01,2000.0,1,CHA,AL,80,215.0,31,59.0,15.0,1.0,3.0,29.0,2.0,1.0,21,38.0,1.0,2.0,2.0,1.0,2.0,28.0,0.48372093023255813,0.2744186046511628,0.20930232558139533
26,abbotku01,1994.0,1,FLO,NL,101,345.0,41,86.0,17.0,3.0,9.0,33.0,3.0,0.0,16,98.0,1.0,5.0,3.0,2.0,5.0,25.0,0.4782608695652174,0.2492753623188406,0.2289855072463768
27,abbotku01,1995.0,1,FLO,NL,120,420.0,60,107.0,18.0,7.0,17.0,60.0,4.0,3.0,36,110.0,4.0,5.0,2.0,5.0,6.0,26.0,0.5523809523809524,0.25476190476190474,0.29761904761904767
28,abbotku01,1996.0,1,FLO,NL,109,320.0,37,81.0,18.0,7.0,8.0,33.0,3.0,3.0,22,99.0,1.0,3.0,4.0,0.0,7.0,27.0,0.53125,0.253125,0.278125
29,abbotku01,1997.0,1,FLO,NL,94,252.0,35,69.0,18.0,2.0,6.0,30.0,3.0,1.0,14,68.0,3.0,1.0,6.0,0.0,5.0,28.0,0.5357142857142857,0.27380952380952384,0.26190476190476186
30,abbotku01,1999.0,1,COL,NL,96,286.0,41,78.0,17.0,2.0,8.0,41.0,3.0,2.0,16,69.0,0.0,0.0,2.0,1.0,4.0,30.0,0.5244755244755245,0.2727272727272727,0.2517482517482518
31,abercre01,2006.0,1,FLO,NL,111,255.0,39,54.0,12.0,2.0,5.0,24.0,6.0,5.0,18,78.0,2.0,3.0,4.0,1.0,2.0,26.0,0.40784313725490196,0.21176470588235294,0.19607843137254902
32,abernbr01,2001.0,1,TBA,AL,79,304.0,43,82.0,17.0,1.0,5.0,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0,24.0,0.45723684210526316,0.26973684210526316,0.1875
33,abernbr01,2002.0,1,TBA,AL,117,463.0,46,112.0,18.0,4.0,2.0,40.0,10.0,4.0,25,46.0,0.0,6.0,8.0,2.0,8.0,25.0,0.36285097192224625,0.24190064794816415,0.12095032397408209
34,abnersh01,1992.0,1,CHA,AL,97,208.0,21,58.0,10.0,1.0,1.0,16.0,1.0,2.0,12,35.0,2.0,3.0,2.0,3.0,3.0,26.0,0.40865384615384615,0.27884615384615385,0.1298076923076923
35,abramca01,1955.0,1,BAL,AL,118,309.0,56,75.0,12.0,3.0,6.0,32.0,2.0,8.0,89,69.0,2.0,3.0,3.0,3.0,6.0,31.0,0.42718446601941745,0.24271844660194175,0.1844660194174757
36,abreubo01,1998.0,1,PHI,NL,151,497.0,68,155.0,29.0,6.0,17.0,74.0,19.0,10.0,84,133.0,14.0,0.0,4.0,4.0,6.0,24.0,0.6016096579476862,0.3118712273641851,0.28973843058350107
37,abreubo01,1999.0,1,PHI,NL,152,546.0,118,183.0,35.0,11.0,20.0,93.0,27.0,9.0,109,113.0,8.0,3.0,0.0,4.0,13.0,25.0,0.6703296703296703,0.33516483516483514,0.33516483516483514
38,abreubo01,2000.0,1,PHI,NL,154,576.0,103,182.0,42.0,10.0,25.0,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,26.0,0.6875,0.3159722222222222,0.3715277777777778
39,abreubo01,2001.0,1,PHI,NL,162,588.0,118,170.0,48.0,4.0,31.0,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,27.0,0.6836734693877551,0.2891156462585034,0.3945578231292517
40,abreubo01,2002.0,1,PHI,NL,157,572.0,102,176.0,50.0,6.0,20.0,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,28.0,0.6538461538461539,0.3076923076923077,0.34615384615384615
41,abreubo01,2003.0,1,PHI,NL,158,577.0,99,173.0,35.0,1.0,20.0,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,29.0,0.5649913344887348,0.29982668977469673,0.2651646447140381
42,abreubo01,2004.0,1,PHI,NL,159,574.0,118,173.0,47.0,1.0,30.0,105.0,40.0,5.0,127,116.0,10.0,5.0,0.0,7.0,5.0,30.0,0.6794425087108014,0.30139372822299654,0.3780487804878048
43,abreubo01,2005.0,1,PHI,NL,162,588.0,104,168.0,37.0,1.0,24.0,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0,31.0,0.5799319727891157,0.2857142857142857,0.29421768707483
44,abreubo01,2006.0,1,PHI,NL,98,339.0,61,94.0,25.0,2.0,8.0,65.0,20.0,4.0,91,86.0,5.0,2.0,0.0,6.0,8.0,32.0,0.5368731563421829,0.27728613569321536,0.25958702064896755
45,abreubo01,2006.0,2,NYA,AL,58,209.0,37,69.0,16.0,0.0,7.0,42.0,10.0,2.0,33,52.0,1.0,1.0,2.0,3.0,5.0,32.0,0.6172248803827751,0.33014354066985646,0.28708133971291866
46,abreubo01,2007.0,1,NYA,AL,158,605.0,123,171.0,40.0,5.0,16.0,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,33.0,0.5454545454545454,0.28264462809917357,0.26280991735537185
47,abreubo01,2008.0,1,NYA,AL,156,609.0,100,180.0,39.0,4.0,20.0,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,34.0,0.5747126436781609,0.2955665024630542,0.27914614121510667
