,playerID,age,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SLG,AVG,ISO
257,renfrhu01,42.84091424588891,48.67348290509028,51.680202540887564,44.6584224416656,62.15270810148497,56.23916998355865,44.33860774043161,44.25086435654017,45.25522640949259,53.66486782353657,48.34491883257217,45.23069426051346,63.21335664089395,48.046528014279794,66.35909298432075
258,reyesfr01,29.283292263507636,41.60085473379559,37.01197047291099,40.16601875157924,51.16872282375813,40.44472548617281,41.800075052614204,40.418107260900285,42.463682485391374,45.55406681435094,42.34639261250225,37.76964998761241,59.23685945239332,58.53991244831064,57.32699109176574
259,reyesjo01,67.24463381417522,33.7423789879126,40.15516305890597,53.64322982183833,37.987940490485926,34.041572311556926,48.14640677215772,48.083621452180054,41.5331678440243,34.08707228412298,45.34565572253721,37.76964998761241,36.921737042438295,28.245820593065755,43.63407599532994
260,reyesvi01,37.4178654529364,34.790175754030344,32.82104702491768,53.64322982183833,34.69274490716788,32.334064798326025,53.22347214779253,44.25086435654017,33.623793392404174,36.04485183806434,42.34639261250225,37.76964998761241,28.326766495567544,39.25368723915407,28.95378883855626
261,reynoma01,67.24463381417522,35.83797252014807,35.964239610912664,40.16601875157924,47.873527240440076,44.28661739094234,41.800075052614204,40.418107260900285,42.463682485391374,41.07914211962783,45.34565572253721,42.74367950287977,57.33782949948509,47.85825872792282,59.523183246163086
262,rickajo01,45.55243864236517,36.0999217116775,38.05970133490931,44.6584224416656,42.38153460157666,37.029710459711005,46.877140428249014,48.083621452180054,38.27636659923954,38.56199697884609,42.34639261250225,42.74367950287977,48.50812788551593,46.71384249750834,49.60757947522844
263,riddljt01,45.55243864236517,41.07695635073673,38.05970133490931,58.1356335119247,43.47993312934935,42.57910987771143,41.800075052614204,51.916378547819946,40.60265320265722,41.91819049988842,45.34565572253721,37.76964998761241,42.52392629675073,42.18721222068304,44.44338794205721
264,rizzoan01,50.975487435317675,64.39043439685625,57.96658771287752,44.6584224416656,61.05430957371229,70.32610696771357,49.41567311606642,55.74913564345983,63.86551923683406,45.55406681435094,87.33533926302667,87.50994514028605,56.103201554377705,59.53490359346601,53.226736748094154
265,roberda10,37.4178654529364,41.862803925325025,44.346086506899276,40.16601875157924,43.47993312934935,41.725356121095984,44.33860774043161,48.083621452180054,51.303571578378566,44.71501843409036,42.34639261250225,70.10084183685028,48.6486436893575,52.79277768902105,47.25132090161745
266,rojasmi02,50.975487435317675,54.698314310267236,41.202893920904295,40.16601875157924,45.67673018489471,49.836016808942766,49.41567311606642,51.916378547819946,42.463682485391374,42.477556086728804,48.34491883257217,60.15278280631555,35.98194541222085,49.34686332684299,33.775231847850776
267,rominau01,53.68701183179393,37.93356605238353,40.15516305890597,40.16601875157924,44.57833165712203,45.14037114755779,43.06934139652291,40.418107260900285,39.20688124060662,41.91819049988842,42.34639261250225,42.74367950287977,49.201755312536946,46.60416744855339,50.469297547168615
268,rosaram01,34.70634105646015,59.67534894932646,54.823395126882545,76.10524827227016,43.47993312934935,48.98226305232731,72.26246730642306,82.57843531293902,44.78996908880906,56.46169575773851,54.343445052642096,45.23069426051346,43.36619638248513,50.76634603712659,41.875806007671265
269,rosared01,45.55243864236517,64.65238358838569,60.062049436874176,49.15082613175197,59.9559110459396,60.08106188832817,51.95420580388382,48.083621452180054,45.25522640949259,52.2664538564356,57.342708162677056,37.76964998761241,57.774546050479636,61.30698315320437,54.45840716923435
270,russead02,37.4178654529364,49.98322886273745,49.58474081689091,44.6584224416656,39.08633901825861,43.432863634326885,46.877140428249014,40.418107260900285,49.90779961632796,50.868039889334625,48.34491883257217,42.74367950287977,37.06863592634162,48.66541322155955,35.33666419199018
271,sanchca01,42.84091424588891,60.46119652391476,63.20524202286916,85.09005565244289,42.38153460157666,50.68977056555821,59.569803867336034,63.4146498347396,54.095115502479786,61.775668832722204,42.34639261250225,57.66576804868187,43.348563213207925,45.89418279340683,43.87608383959401
272,sanchga02,42.84091424588891,38.195515243912965,45.3938173688976,40.16601875157924,53.3655198793035,49.836016808942766,43.06934139652291,40.418107260900285,52.699343540429176,49.46962592223366,42.34639261250225,45.23069426051346,49.86612104756488,27.302057908555536,59.25781770590779
273,sandopa01,59.11006062474644,37.40966766932467,38.05970133490931,44.6584224416656,43.47993312934935,44.28661739094234,41.800075052614204,40.418107260900285,40.13739588197369,37.7229485985855,48.34491883257217,42.74367950287977,48.74262636105734,47.94248354465012,49.37387073646269
274,sanomi01,40.129389849412654,36.361870903206935,42.25062478290262,40.16601875157924,47.873527240440076,44.71349426925006,41.800075052614204,40.418107260900285,45.72048373017613,55.34296458405773,42.34639261250225,37.76964998761241,48.232951102992836,31.78799482453917,55.47517408967937
275,santaca01,59.11006062474644,56.0080602679144,56.918856850879195,49.15082613175197,59.9559110459396,63.922953793097705,44.33860774043161,44.25086435654017,82.47581206417553,49.18994312881346,60.341971272712016,40.25666474524609,49.48893656036609,41.53939212059538,52.90816231302114
276,santado01,42.84091424588891,37.14771847779524,42.25062478290262,44.6584224416656,39.08633901825861,35.74907982478783,43.06934139652291,44.25086435654017,40.60265320265722,44.71501843409036,45.34565572253721,40.25666474524609,49.06630638276656,53.78759268591766,47.33014366424457
277,schebsc01,48.26396303884142,47.88763533050198,47.48927909289426,40.16601875157924,52.26712135153081,48.128509295711865,46.877140428249014,48.083621452180054,49.44254229564442,50.868039889334625,45.34565572253721,60.15278280631555,52.24329063355307,50.41566401828761,52.46736231096871
278,schoojo01,45.55243864236517,44.74424503214879,46.441548230895926,44.6584224416656,52.26712135153081,44.28661739094234,41.800075052614204,44.25086435654017,36.880594637188935,43.875970053829775,45.34565572253721,45.23069426051346,54.11101102766235,46.52148137169925,56.28054608061959
279,schwaky01,40.129389849412654,49.197381288149145,42.25062478290262,53.64322982183833,62.15270810148497,53.25103183540457,46.877140428249014,51.916378547819946,67.58757780230235,62.33503441956259,102.33165481320147,40.25666474524609,56.17578748451222,44.780510752186565,59.43243853911099
280,seageky01,56.39853622827019,56.270009459443834,65.3007037468658,44.6584224416656,57.75911399039423,60.5079387666359,44.33860774043161,48.083621452180054,48.97728497496089,61.775668832722204,51.34418194260713,50.20472377578082,48.33348738888892,39.11108533032973,52.555780271223
